ID;Nom;Flavour;Rules
21;Indecision;Past decisions haunt you ceaselessly. You are crippled by indecision, and even the most trivial choices grip you with terror.;If you are the event revealer of hunt events that call on you to make a roll, roll twice and use the lower result.
22;Megalophobia;Even large, looming shadows make you jumpy.;You may not depart for hunts or showdowns with monsters that occupy more than 4 spaces on the showndown board.
23;Monster Panic;Monsters make you feel bad. Really, really bad.;Whenever you suffer brain damage from an Intimidate action, suffer 1 additional brain damage.
24;Motion Sickness;Moving quickly makes you vomit.;Whenever you suffer knockback, gain 1 bleeding token.
25;Narcissistic;There is nothing in the world more beautiful than yourself;You may not wear armor at the head location. If you are wearing armor at the haed location when you gain this disorder, archive it.
26;Overprotective;You love the feeling of being needed.;When an adjacent survivor is knocked down, you are also knocked down as you rush to their aid.
27;Perfomance Anxiety;You're not ready to love;You cannot be nominated for Intimacy   Cure this disorder if you have 8+ courage
28;Post-Traumatic Stress;The last hunt was harrowing. All you can do is cower and relive the trauma. Only time can heal your wounds.;Next settlement phase, you do not contribute or participate in any endeavors. Skip the next hunt to recover.
29;Prey;You are prey. All there is for you is death.;You may not spend survival unless you are insane.
30;Prima Donna;The double-edged sword of fame is the only weapon you require.;Each survivor turn, you must take your act first (roll off each turn if multiple survivors have this disorder).
31;Quixotic;You carry the weight of your settlement on your shoulders. Everyone is counting on you to save them, and you will rise to the challenge.;If you are insane when you depart, gain +1 survival and +1 strengh token.
32;Rageholic;Your rage boils out of control, causing you to see red at the slightest provocation.;Whenever you suffer a sever injury, also the frenzy brain trauma.
33;Secretive;You love secrets. So much, in fact, that you pretend to have many.;When you are a returning survivor, you quickly become preoccupied with your own affair. You must skip the next hunt to deal with them.
34;Seizures;Lingering damage from your head injuries has caused you to experience periods of uncontrollable shaking and absence of thought;During the showdown, whenever you suffer damage to your head location, you are knocked down
35;Shallow Lungs;Yelling makes you feel light-headed;When you encourage, you are knocked down
36;Spiral Ganglia;The roads in your mind cross and reveal a strange new path.;At the start of the showdown, gain the (Slendermen) Darkness Awareness survivor status card.
37;Squeamish;You can't handle bad smells;You cannot depart with any stinky gear in your gear grid. If a status or effect would cause you to become stinky, lose all your survival.
38;Stage Fright;You hate being the center of attention.;Whenever you become doomed or gain the priority token token, lose 1 survival.
39;Stark Raving;Freedom awaits those pushed this far beyond the breaking point.;You are always insane, regardless of your insanity.
40;Sun-Drunk;When your emotions rise, you can only think of violence.;When you have any +1 strengh tokens, you cannot dash, dodge or Run Away
41;Superstitious;Evil magic will be your undoing. You do not believe in abusing the others;You cannot activate or depart with other gear in your gear grid
42;Traumatized;Your experiences have left you shaken and paralyzed by fear.;Whenever you end your act adjacent to a monster, you are knocked down.
43;Tunnel Vision;If you're not killing something, you're wasting your time.;When you spend ACTIVATION, you may only activate weapons.
44;Unlucky;Your mother always said you were born under a bad sign.;You cannot critically wound.
45;Vermin Obsession;You love insects;While there is a Bug Spot terrain tile on the showdown board, you are so overwhelmed that you are doomed.
46;Vestiphobia;Even the lightest armor rubs harshly against your skin and constricts your ability to move.;You cannot wear armor at the body location. If you are wearing armor at the body location when you gain this disorder, archive it as you tear it off your person!
47;Weak Spot;You have an imaginary infirmity;When you gain this disorder, roll a random hit location and record it. You cannot depart unless you have armor at this hit location.
